"id";"userid";"chorecategory";"chore";"date";"timestamp"
"2";"1";"Kitchen";"Mop floor";"2022-12-8";"2022-12-11 06:54:42"
"3";"2";"Kitchen";"Mop kitchen floor";"2022-12-07";"2022-12-11 07:13:40"
"4";"2";"Kitchen";"Scrub kitchen floor";"2022-12-05";"2022-12-11 07:13:47"
"5";"2";"Kitchen";"Clean oven";"2022-12-01";"2022-12-11 07:13:53"
"6";"2";"Kitchen";"Clean bins";"2022-12-04";"2022-12-11 07:14:02"
"7";"2";"Kitchen";"Clean fridge";"2022-12-06";"2022-12-11 07:14:07"
"8";"2";"Bathroom";"Mop bathroom floor";"2022-11-29";"2022-12-11 07:14:14"
"9";"2";"Bathroom";"Clean bath";"2022-11-16";"2022-12-11 07:14:21"
"10";"2";"Bathroom";"Clean toilet";"2022-11-09";"2022-12-11 07:14:26"
"11";"2";"Bathroom";"Clean sink";"2022-11-09";"2022-12-11 07:14:33"
"12";"2";"Bathroom";"Clean shower curtain";"2022-09-27";"2022-12-11 07:14:39"
"13";"2";"Bathroom";"Clean walls";"2021-02-11";"2022-12-11 07:14:48"
"14";"2";"Surfaces";"Vacuum upstairs / downstairs";"2022-10-04";"2022-12-11 07:16:21"
"15";"2";"Surfaces";"Mop hardwood floors";"2022-10-06";"2022-12-11 07:16:28"
"16";"2";"Surfaces";"Sweep front and back yards";"2022-09-14";"2022-12-11 07:16:34"
"17";"2";"Surfaces";"Wipe walls";"2022-08-10";"2022-12-11 07:16:45"
"18";"2";"Review and sprucing";"Kitchen items review";"2022-11-29";"2022-12-11 07:16:52"
"19";"4";"Review and sprucing";"Kitchen items review";"2022-11-08";"2022-12-11 07:33:08"
"20";"4";"Review and sprucing";"Shed audit";"2022-09-27";"2022-12-11 07:33:14"
"21";"4";"Review and sprucing";"Kitchen undersink";"2022-12-06";"2022-12-11 07:33:23"
"22";"4";"Review and sprucing";"Bathroom undersink";"2022-12-06";"2022-12-11 07:33:29"
"23";"4";"Review and sprucing";"Laundry undersink";"2022-11-08";"2022-12-11 07:33:35"
"24";"4";"Review and sprucing";"Unfloof the Floof";"2022-11-30";"2022-12-11 07:33:40"
"25";"4";"Surfaces";"Vacuum upstairs / downstairs";"2022-11-16";"2022-12-11 07:33:46"
"26";"4";"Surfaces";"Mop hardwood floors";"2022-11-17";"2022-12-11 07:34:07"
"27";"4";"Surfaces";"Sweep front and back yards";"2022-11-08";"2022-12-11 07:34:13"
"28";"4";"Bathroom";"Clean toilet";"2022-10-19";"2022-12-11 07:34:19"
"29";"3";"Bathroom";"Clean bath";"2022-12-07";"2022-12-11 07:34:58"
"30";"3";"Bathroom";"Clean sink";"2022-12-10";"2022-12-11 07:35:04"
"31";"3";"Bathroom";"Clean shower curtain";"2022-11-30";"2022-12-11 07:35:09"
"32";"3";"Review and sprucing";"Unfloof the Floof";"2022-12-07";"2022-12-11 11:31:16"
"33";"3";"Surfaces";"Mop hardwood floors";"2022-11-30";"2022-12-11 11:46:44"
"34";"3";"Surfaces";"Sweep front and back yards";"2022-09-15";"2022-12-11 11:48:41"
"35";"3";"Review and sprucing";"Shed audit";"2022-12-07";"2022-12-11 11:49:03"
"36";"3";"Bathroom";"Clean bath";"2022-10-12";"2022-12-11 11:51:37"
"37";"3";"Review and sprucing";"Unfloof the Floof";"2021-02-11";"2022-12-11 11:52:13"
"38";"3";"Review and sprucing";"Unfloof the Floof";"2022-09-15";"2022-12-11 11:52:38"
"39";"3";"Review and sprucing";"Unfloof the Floof";"2022-12-10";"2022-12-11 11:52:47"
"40";"3";"Review and sprucing";"Unfloof the Floof";"2022-12-09";"2022-12-11 11:53:05"
"41";"1";"Surfaces";"Mop hardwood floors";"2022-12-07";"2022-12-11 11:56:52"
"42";"1";"Kitchen";"Clean fridge";"2022-12-11";"2022-12-11 11:56:58"
"43";"47";"Kitchen";"Clean oven";"2022-12-08";"2022-12-11 22:59:05"
"44";"47";"Bathroom";"Clean toilet";"2022-12-07";"2022-12-11 22:59:16"
"45";"47";"Surfaces";"Vacuum upstairs / downstairs";"2022-12-08";"2022-12-11 22:59:25"
"46";"47";"Review and sprucing";"Unfloof the Floof";"2022-11-30";"2022-12-11 22:59:36"
"47";"4";"Bathroom";"Clean bath";"2022-11-03";"2022-12-12 06:13:45"
"48";"4";"Bathroom";"Clean bath";"2022-11-10";"2022-12-12 06:13:55"
"49";"4";"Bathroom";"Clean bath";"2022-11-11";"2022-12-12 06:14:02"
"50";"4";"Bathroom";"Clean bath";"2022-11-09";"2022-12-12 06:14:17"
"51";"4";"Bathroom";"Clean bath";"2022-11-17";"2022-12-12 06:14:55"
"52";"4";"Bathroom";"Clean bath";"2022-11-18";"2022-12-12 06:15:08"
"53";"4";"Bathroom";"Clean bath";"2022-11-19";"2022-12-12 06:15:21"
"54";"4";"Bathroom";"Clean bath";"2022-12-08";"2022-12-12 06:16:26"
"55";"4";"Bathroom";"Clean bath";"2022-12-09";"2022-12-12 06:16:31"
"56";"4";"Bathroom";"Clean bath";"2022-12-11";"2022-12-12 06:16:41"
"57";"49";"Kitchen";"Clean oven";"2022-12-08";"2022-12-14 07:15:21"
"58";"49";"Bathroom";"Clean bath";"2022-12-06";"2022-12-14 07:15:26"
"59";"50";"Surfaces";"Mop hardwood floors";"2022-12-06";"2022-12-14 07:16:27"
"60";"50";"Review and sprucing";"Bathroom undersink";"2022-12-07";"2022-12-14 07:16:32"
"61";"53";"Surfaces";"Mop hardwood floors";"2022-12-14";"2022-12-15 04:22:17"
"62";"4";"Kitchen";"Clean bins";"2022-12-07";"2022-12-15 06:40:28"
