id,chorecategory,chore
1,Bathroom,Floor - Mop
2,Bathroom,Floor - Scrub
3,Bathroom,Floor - Sweep
4,Bathroom,Floor - Polish
5,Bathroom,Clean toilet
6,Bathroom,Clean sink
7,Bathroom,Clean shower curtains
8,Bathroom,Clean walls
9,Kitchen,Floor - Mop
10,Kitchen,Floor - Scrub
11,Kitchen,Floor - Sweep
12,Kitchen,Clean oven
13,Kitchen,Clean bins
14,Kitchen,Clean fridge
15,Food,Grocery shop
16,Food,Make Breakfast
17,Food,Make Lunch
18,Food,Make Dinner
19,Garden,Water plants
20,Surfaces,Floors - vacuum
21,Surfaces,Floors - sweep
22,Surfaces,Floors - mop 
23,Surfaces,Wipe walls
24,Review and Sprucing,Stationary drawer
25,Review and Sprucing,Kitchen items review
26,Review and Sprucing,Shed audit
27,Review and Sprucing,Kitchen undersink audit
28,Review and Sprucing,Bathroom undersink audit
29,Review and Sprucing,Laundry undersink audit
30,Pets,Dog - walk
31,Pets,Dog - feed
32,Pets,Dog - wash
33,Pets,Dog - brush
34,Pets,Cat - feed
35,Pets,Cat - wash
36,Pets,Cat - brush
37,Pets,Cat - refresh litter tray
38,Other,Fuck the police
39,Other,Fight the power
40,Other,Bumrush the show
